,real,pred,answer
964,nevus,nevus,1
965,nevus,nevus,1
966,nevus,nevus,1
967,nevus,nevus,1
968,nevus,melanoma,0
969,nevus,nevus,1
970,nevus,nevus,1
971,nevus,nevus,1
972,nevus,nevus,1
973,nevus,nevus,1
974,nevus,nevus,1
975,nevus,nevus,1
976,melanoma,nevus,0
977,nevus,nevus,1
978,nevus,nevus,1
979,pigmented benign keratosis,nevus,0
980,pigmented benign keratosis,nevus,0
981,nevus,nevus,1
982,nevus,nevus,1
983,nevus,nevus,1
984,dermatofibroma,pigmented benign keratosis,0
985,nevus,nevus,1
986,nevus,nevus,1
987,basal cell carcinoma,nevus,0
988,nevus,nevus,1
989,nevus,nevus,1
990,nevus,nevus,1
991,melanoma,nevus,0
992,melanoma,nevus,0
993,nevus,nevus,1
994,nevus,nevus,1
995,nevus,nevus,1
996,nevus,nevus,1
997,pigmented benign keratosis,nevus,0
998,nevus,nevus,1
999,basal cell carcinoma,nevus,0
1000,pigmented benign keratosis,nevus,0
1001,squamous cell carcinoma,basal cell carcinoma,0
1002,nevus,nevus,1
1003,nevus,nevus,1
1004,nevus,nevus,1
1005,nevus,nevus,1
1006,basal cell carcinoma,nevus,0
1007,nevus,pigmented benign keratosis,0
1008,nevus,nevus,1
1009,nevus,nevus,1
1010,nevus,nevus,1
1011,nevus,nevus,1
1012,pigmented benign keratosis,pigmented benign keratosis,1
1013,nevus,nevus,1
1014,nevus,nevus,1
1015,nevus,nevus,1
1016,pigmented benign keratosis,nevus,0
1017,basal cell carcinoma,nevus,0
1018,melanoma,pigmented benign keratosis,0
1019,basal cell carcinoma,nevus,0
1020,pigmented benign keratosis,nevus,0
1021,nevus,nevus,1
1022,melanoma,nevus,0
1023,melanoma,nevus,0
1024,nevus,nevus,1
1025,melanoma,melanoma,1
1026,pigmented benign keratosis,nevus,0
1027,nevus,nevus,1
1028,pigmented benign keratosis,nevus,0
1029,nevus,nevus,1
1030,nevus,nevus,1
1031,nevus,nevus,1
1032,nevus,melanoma,0
1033,nevus,nevus,1
1034,nevus,nevus,1
1035,nevus,nevus,1
1036,basal cell carcinoma,nevus,0
1037,nevus,nevus,1
1038,basal cell carcinoma,nevus,0
1039,nevus,nevus,1
1040,nevus,nevus,1
1041,melanoma,nevus,0
1042,nevus,nevus,1
1043,pigmented benign keratosis,nevus,0
1044,nevus,nevus,1
1045,nevus,nevus,1
1046,nevus,nevus,1
1047,nevus,nevus,1
1048,squamous cell carcinoma,nevus,0
1049,nevus,basal cell carcinoma,0
1050,nevus,nevus,1
1051,nevus,nevus,1
1052,nevus,nevus,1
1053,nevus,nevus,1
1054,nevus,nevus,1
1055,nevus,nevus,1
1056,nevus,melanoma,0
1057,actinic keratosis,pigmented benign keratosis,0
1058,basal cell carcinoma,basal cell carcinoma,1
1059,melanoma,nevus,0
1060,pigmented benign keratosis,basal cell carcinoma,0
1061,nevus,nevus,1
1062,melanoma,nevus,0
1063,nevus,nevus,1
1064,nevus,nevus,1
1065,nevus,nevus,1
1066,melanoma,melanoma,1
1067,nevus,nevus,1
1068,nevus,nevus,1
1069,nevus,nevus,1
1070,pigmented benign keratosis,nevus,0
1071,nevus,nevus,1
1072,nevus,melanoma,0
1073,nevus,nevus,1
1074,nevus,nevus,1
1075,melanoma,nevus,0
1076,pigmented benign keratosis,nevus,0
1077,nevus,nevus,1
1078,nevus,basal cell carcinoma,0
1079,nevus,nevus,1
1080,nevus,nevus,1
1081,nevus,nevus,1
1082,pigmented benign keratosis,nevus,0
1083,nevus,nevus,1
1084,nevus,nevus,1
1085,nevus,nevus,1
1086,nevus,nevus,1
1087,nevus,nevus,1
1088,nevus,nevus,1
1089,nevus,nevus,1
1090,pigmented benign keratosis,nevus,0
1091,nevus,nevus,1
1092,nevus,nevus,1
1093,nevus,nevus,1
1094,nevus,nevus,1
1095,nevus,nevus,1
1096,nevus,nevus,1
1097,nevus,nevus,1
1098,nevus,nevus,1
1099,pigmented benign keratosis,nevus,0
1100,nevus,nevus,1
1101,nevus,nevus,1
1102,melanoma,pigmented benign keratosis,0
1103,nevus,nevus,1
1104,nevus,nevus,1
1105,nevus,nevus,1
1106,nevus,nevus,1
1107,nevus,nevus,1
1108,melanoma,nevus,0
1109,nevus,nevus,1
1110,pigmented benign keratosis,basal cell carcinoma,0
1111,nevus,nevus,1
1112,basal cell carcinoma,basal cell carcinoma,1
1113,nevus,nevus,1
1114,basal cell carcinoma,pigmented benign keratosis,0
1115,melanoma,melanoma,1
1116,nevus,nevus,1
1117,pigmented benign keratosis,nevus,0
1118,basal cell carcinoma,basal cell carcinoma,1
1119,nevus,nevus,1
1120,nevus,nevus,1
1121,nevus,nevus,1
1122,nevus,nevus,1
1123,pigmented benign keratosis,melanoma,0
1124,pigmented benign keratosis,nevus,0
1125,nevus,basal cell carcinoma,0
1126,nevus,nevus,1
1127,nevus,nevus,1
1128,vascular lesion,nevus,0
1129,nevus,nevus,1
1130,nevus,melanoma,0
1131,nevus,nevus,1
1132,nevus,nevus,1
1133,nevus,nevus,1
1134,nevus,nevus,1
1135,squamous cell carcinoma,nevus,0
1136,nevus,nevus,1
1137,nevus,nevus,1
1138,nevus,nevus,1
1139,nevus,nevus,1
1140,pigmented benign keratosis,basal cell carcinoma,0
1141,nevus,nevus,1
1142,nevus,nevus,1
1143,melanoma,nevus,0
1144,melanoma,pigmented benign keratosis,0
1145,nevus,nevus,1
1146,melanoma,nevus,0
1147,melanoma,nevus,0
1148,nevus,nevus,1
1149,melanoma,nevus,0
1150,nevus,nevus,1
1151,pigmented benign keratosis,nevus,0
1152,basal cell carcinoma,nevus,0
1153,nevus,nevus,1
1154,nevus,nevus,1
1155,nevus,nevus,1
1156,melanoma,nevus,0
1157,nevus,nevus,1
1158,melanoma,nevus,0
1159,melanoma,nevus,0
1160,nevus,nevus,1
1161,melanoma,pigmented benign keratosis,0
1162,nevus,nevus,1
1163,nevus,basal cell carcinoma,0
1164,nevus,nevus,1
1165,melanoma,pigmented benign keratosis,0
1166,nevus,nevus,1
1167,nevus,nevus,1
1168,melanoma,nevus,0
1169,squamous cell carcinoma,nevus,0
1170,nevus,nevus,1
1171,nevus,nevus,1
1172,dermatofibroma,nevus,0
1173,nevus,nevus,1
1174,nevus,nevus,1
1175,melanoma,melanoma,1
1176,pigmented benign keratosis,nevus,0
1177,pigmented benign keratosis,pigmented benign keratosis,1
1178,nevus,nevus,1
1179,nevus,nevus,1
1180,pigmented benign keratosis,basal cell carcinoma,0
1181,nevus,nevus,1
1182,nevus,nevus,1
1183,nevus,nevus,1
1184,nevus,nevus,1
1185,nevus,nevus,1
1186,pigmented benign keratosis,nevus,0
1187,nevus,nevus,1
1188,nevus,nevus,1
1189,nevus,nevus,1
1190,nevus,nevus,1
1191,nevus,nevus,1
1192,nevus,nevus,1
1193,nevus,nevus,1
1194,nevus,nevus,1
1195,basal cell carcinoma,pigmented benign keratosis,0
1196,pigmented benign keratosis,pigmented benign keratosis,1
1197,nevus,basal cell carcinoma,0
1198,nevus,nevus,1
1199,nevus,nevus,1
1200,basal cell carcinoma,nevus,0
1201,nevus,nevus,1
1202,nevus,nevus,1
1203,nevus,nevus,1
1204,nevus,nevus,1
1205,actinic keratosis,nevus,0
1206,nevus,melanoma,0
1207,pigmented benign keratosis,pigmented benign keratosis,1
1208,nevus,nevus,1
1209,nevus,nevus,1
1210,nevus,nevus,1
1211,nevus,nevus,1
1212,melanoma,nevus,0
1213,melanoma,pigmented benign keratosis,0
1214,melanoma,nevus,0
1215,nevus,nevus,1
1216,pigmented benign keratosis,melanoma,0
1217,nevus,nevus,1
1218,pigmented benign keratosis,nevus,0
1219,pigmented benign keratosis,pigmented benign keratosis,1
1220,nevus,nevus,1
1221,pigmented benign keratosis,pigmented benign keratosis,1
1222,dermatofibroma,nevus,0
1223,nevus,nevus,1
1224,nevus,nevus,1
1225,nevus,nevus,1
1226,nevus,nevus,1
1227,nevus,nevus,1
1228,nevus,nevus,1
1229,basal cell carcinoma,basal cell carcinoma,1
1230,nevus,nevus,1
1231,melanoma,pigmented benign keratosis,0
1232,nevus,nevus,1
1233,nevus,nevus,1
1234,melanoma,melanoma,1
1235,basal cell carcinoma,nevus,0
1236,vascular lesion,nevus,0
1237,nevus,nevus,1
1238,pigmented benign keratosis,nevus,0
1239,nevus,nevus,1
1240,nevus,nevus,1
1241,melanoma,nevus,0
1242,nevus,nevus,1
1243,nevus,nevus,1
1244,nevus,nevus,1
1245,nevus,nevus,1
1246,nevus,nevus,1
1247,nevus,nevus,1
1248,nevus,nevus,1
1249,nevus,nevus,1
1250,pigmented benign keratosis,nevus,0
1251,nevus,nevus,1
1252,nevus,melanoma,0
1253,melanoma,nevus,0
1254,basal cell carcinoma,pigmented benign keratosis,0
1255,nevus,nevus,1
1256,nevus,nevus,1
1257,nevus,nevus,1
1258,basal cell carcinoma,nevus,0
1259,nevus,nevus,1
1260,dermatofibroma,nevus,0
1261,nevus,nevus,1
1262,nevus,nevus,1
1263,nevus,nevus,1
1264,melanoma,pigmented benign keratosis,0
1265,pigmented benign keratosis,melanoma,0
1266,basal cell carcinoma,nevus,0
1267,nevus,melanoma,0
1268,pigmented benign keratosis,nevus,0
1269,nevus,melanoma,0
1270,nevus,nevus,1
1271,nevus,nevus,1
1272,nevus,nevus,1
1273,basal cell carcinoma,nevus,0
1274,melanoma,pigmented benign keratosis,0
1275,melanoma,melanoma,1
1276,pigmented benign keratosis,pigmented benign keratosis,1
1277,melanoma,nevus,0
1278,nevus,nevus,1
1279,nevus,nevus,1
1280,melanoma,nevus,0
1281,pigmented benign keratosis,melanoma,0
1282,pigmented benign keratosis,nevus,0
1283,melanoma,nevus,0
1284,nevus,nevus,1
1285,nevus,nevus,1
1286,melanoma,melanoma,1
1287,nevus,nevus,1
1288,nevus,nevus,1
1289,nevus,nevus,1
1290,nevus,nevus,1
1291,nevus,nevus,1
1292,nevus,nevus,1
1293,nevus,nevus,1
1294,nevus,nevus,1
1295,melanoma,melanoma,1
1296,nevus,pigmented benign keratosis,0
1297,nevus,pigmented benign keratosis,0
1298,nevus,nevus,1
1299,nevus,melanoma,0
1300,nevus,nevus,1
1301,nevus,pigmented benign keratosis,0
1302,nevus,nevus,1
1303,nevus,nevus,1
1304,nevus,nevus,1
1305,nevus,nevus,1
1306,melanoma,melanoma,1
1307,nevus,nevus,1
1308,pigmented benign keratosis,nevus,0
1309,nevus,nevus,1
1310,nevus,nevus,1
1311,nevus,nevus,1
1312,nevus,nevus,1
1313,pigmented benign keratosis,nevus,0
1314,nevus,nevus,1
1315,nevus,nevus,1
1316,vascular lesion,nevus,0
1317,nevus,nevus,1
1318,nevus,nevus,1
1319,nevus,nevus,1
1320,nevus,pigmented benign keratosis,0
1321,nevus,nevus,1
1322,nevus,nevus,1
1323,nevus,nevus,1
1324,nevus,nevus,1
1325,dermatofibroma,nevus,0
1326,actinic keratosis,pigmented benign keratosis,0
1327,nevus,nevus,1
1328,nevus,nevus,1
1329,nevus,nevus,1
1330,pigmented benign keratosis,pigmented benign keratosis,1
1331,pigmented benign keratosis,nevus,0
1332,pigmented benign keratosis,nevus,0
1333,melanoma,nevus,0
1334,melanoma,nevus,0
1335,nevus,nevus,1
1336,pigmented benign keratosis,nevus,0
1337,nevus,nevus,1
1338,nevus,nevus,1
1339,nevus,nevus,1
1340,melanoma,nevus,0
1341,nevus,nevus,1
1342,melanoma,nevus,0
1343,melanoma,melanoma,1
1344,nevus,nevus,1
1345,nevus,nevus,1
1346,nevus,nevus,1
1347,nevus,melanoma,0
1348,melanoma,nevus,0
1349,nevus,nevus,1
1350,melanoma,nevus,0
1351,nevus,nevus,1
1352,melanoma,nevus,0
1353,pigmented benign keratosis,nevus,0
1354,nevus,nevus,1
1355,nevus,nevus,1
1356,nevus,nevus,1
1357,nevus,nevus,1
1358,nevus,nevus,1
1359,pigmented benign keratosis,pigmented benign keratosis,1
1360,melanoma,nevus,0
1361,nevus,nevus,1
1362,nevus,nevus,1
1363,nevus,nevus,1
1364,nevus,nevus,1
1365,melanoma,nevus,0
1366,nevus,nevus,1
1367,nevus,nevus,1
1368,basal cell carcinoma,nevus,0
1369,vascular lesion,nevus,0
1370,nevus,nevus,1
1371,nevus,nevus,1
1372,nevus,nevus,1
1373,melanoma,nevus,0
1374,nevus,nevus,1
1375,melanoma,nevus,0
1376,nevus,nevus,1
1377,nevus,nevus,1
1378,nevus,nevus,1
1379,nevus,nevus,1
1380,nevus,nevus,1
1381,nevus,nevus,1
1382,melanoma,nevus,0
1383,nevus,nevus,1
1384,pigmented benign keratosis,nevus,0
1385,nevus,nevus,1
1386,nevus,melanoma,0
1387,nevus,nevus,1
1388,nevus,basal cell carcinoma,0
1389,pigmented benign keratosis,nevus,0
1390,pigmented benign keratosis,nevus,0
1391,pigmented benign keratosis,nevus,0
1392,nevus,nevus,1
1393,nevus,nevus,1
1394,nevus,nevus,1
1395,nevus,nevus,1
1396,dermatofibroma,pigmented benign keratosis,0
1397,actinic keratosis,basal cell carcinoma,0
1398,melanoma,nevus,0
1399,basal cell carcinoma,basal cell carcinoma,1
1400,nevus,nevus,1
1401,nevus,nevus,1
1402,nevus,nevus,1
1403,melanoma,nevus,0
1404,melanoma,melanoma,1
1405,nevus,nevus,1
1406,nevus,nevus,1
1407,melanoma,nevus,0
1408,melanoma,nevus,0
1409,nevus,nevus,1
1410,nevus,nevus,1
1411,nevus,nevus,1
1412,basal cell carcinoma,melanoma,0
1413,nevus,nevus,1
1414,pigmented benign keratosis,pigmented benign keratosis,1
1415,nevus,nevus,1
1416,melanoma,pigmented benign keratosis,0
1417,nevus,nevus,1
1418,nevus,nevus,1
1419,nevus,nevus,1
1420,dermatofibroma,nevus,0
1421,nevus,nevus,1
1422,pigmented benign keratosis,pigmented benign keratosis,1
1423,melanoma,nevus,0
1424,nevus,nevus,1
1425,pigmented benign keratosis,basal cell carcinoma,0
1426,nevus,nevus,1
1427,basal cell carcinoma,pigmented benign keratosis,0
1428,nevus,nevus,1
1429,melanoma,melanoma,1
1430,nevus,nevus,1
1431,nevus,nevus,1
1432,nevus,nevus,1
1433,nevus,melanoma,0
1434,nevus,nevus,1
1435,nevus,nevus,1
1436,nevus,nevus,1
1437,pigmented benign keratosis,nevus,0
1438,nevus,nevus,1
1439,nevus,nevus,1
1440,melanoma,nevus,0
1441,melanoma,nevus,0
1442,nevus,nevus,1
1443,nevus,nevus,1
1444,nevus,nevus,1
1445,vascular lesion,nevus,0
1446,nevus,nevus,1
1447,nevus,nevus,1
1448,nevus,basal cell carcinoma,0
1449,nevus,nevus,1
1450,pigmented benign keratosis,pigmented benign keratosis,1
1451,nevus,basal cell carcinoma,0
1452,pigmented benign keratosis,pigmented benign keratosis,1
1453,basal cell carcinoma,basal cell carcinoma,1
1454,nevus,nevus,1
1455,nevus,nevus,1
1456,nevus,nevus,1
1457,nevus,nevus,1
1458,nevus,nevus,1
1459,pigmented benign keratosis,basal cell carcinoma,0
1460,pigmented benign keratosis,melanoma,0
1461,basal cell carcinoma,basal cell carcinoma,1
1462,pigmented benign keratosis,pigmented benign keratosis,1
1463,nevus,nevus,1
1464,pigmented benign keratosis,pigmented benign keratosis,1
1465,nevus,nevus,1
1466,nevus,nevus,1
1467,melanoma,nevus,0
1468,nevus,nevus,1
1469,nevus,nevus,1
1470,nevus,nevus,1
1471,nevus,nevus,1
1472,nevus,nevus,1
1473,melanoma,pigmented benign keratosis,0
1474,nevus,nevus,1
1475,melanoma,nevus,0
1476,nevus,nevus,1
1477,nevus,nevus,1
1478,nevus,nevus,1
1479,actinic keratosis,basal cell carcinoma,0
1480,nevus,nevus,1
1481,nevus,nevus,1
1482,nevus,nevus,1
1483,nevus,nevus,1
1484,nevus,nevus,1
1485,nevus,nevus,1
1486,nevus,nevus,1
1487,nevus,nevus,1
1488,nevus,nevus,1
1489,nevus,nevus,1
1490,nevus,nevus,1
1491,pigmented benign keratosis,nevus,0
1492,nevus,nevus,1
1493,nevus,nevus,1
1494,nevus,nevus,1
1495,melanoma,nevus,0
1496,nevus,nevus,1
1497,basal cell carcinoma,basal cell carcinoma,1
1498,nevus,nevus,1
1499,melanoma,nevus,0
1500,nevus,nevus,1
1501,basal cell carcinoma,nevus,0
1502,nevus,nevus,1
1503,nevus,nevus,1
1504,nevus,nevus,1
1505,nevus,nevus,1
1506,basal cell carcinoma,nevus,0
1507,nevus,pigmented benign keratosis,0
1508,nevus,nevus,1
1509,nevus,nevus,1
1510,nevus,nevus,1
1511,nevus,pigmented benign keratosis,0
1512,nevus,nevus,1
1513,nevus,nevus,1
1514,nevus,nevus,1
1515,pigmented benign keratosis,nevus,0
1516,nevus,nevus,1
1517,nevus,nevus,1
1518,nevus,nevus,1
1519,nevus,nevus,1
1520,nevus,nevus,1
1521,basal cell carcinoma,nevus,0
1522,nevus,nevus,1
1523,nevus,nevus,1
1524,nevus,nevus,1
1525,nevus,nevus,1
1526,basal cell carcinoma,basal cell carcinoma,1
1527,nevus,nevus,1
1528,nevus,nevus,1
1529,nevus,nevus,1
1530,nevus,nevus,1
1531,melanoma,nevus,0
1532,nevus,nevus,1
1533,nevus,nevus,1
1534,nevus,nevus,1
1535,melanoma,nevus,0
1536,nevus,nevus,1
1537,nevus,nevus,1
1538,pigmented benign keratosis,pigmented benign keratosis,1
1539,nevus,nevus,1
1540,pigmented benign keratosis,pigmented benign keratosis,1
1541,squamous cell carcinoma,basal cell carcinoma,0
1542,nevus,nevus,1
1543,nevus,nevus,1
1544,vascular lesion,nevus,0
1545,nevus,nevus,1
1546,nevus,nevus,1
1547,nevus,nevus,1
1548,pigmented benign keratosis,pigmented benign keratosis,1
1549,nevus,basal cell carcinoma,0
1550,basal cell carcinoma,nevus,0
1551,actinic keratosis,nevus,0
1552,basal cell carcinoma,nevus,0
1553,nevus,nevus,1
1554,pigmented benign keratosis,basal cell carcinoma,0
1555,vascular lesion,basal cell carcinoma,0
1556,nevus,nevus,1
1557,nevus,nevus,1
1558,nevus,nevus,1
1559,melanoma,nevus,0
1560,nevus,nevus,1
1561,nevus,nevus,1
1562,nevus,nevus,1
1563,melanoma,nevus,0
1564,nevus,nevus,1
1565,nevus,nevus,1
1566,squamous cell carcinoma,nevus,0
1567,nevus,nevus,1
1568,melanoma,nevus,0
1569,nevus,nevus,1
1570,nevus,nevus,1
1571,nevus,nevus,1
1572,nevus,nevus,1
1573,nevus,pigmented benign keratosis,0
1574,nevus,nevus,1
1575,pigmented benign keratosis,pigmented benign keratosis,1
1576,pigmented benign keratosis,nevus,0
1577,pigmented benign keratosis,nevus,0
1578,melanoma,nevus,0
1579,nevus,nevus,1
1580,nevus,nevus,1
1581,nevus,nevus,1
1582,nevus,nevus,1
1583,melanoma,melanoma,1
1584,nevus,nevus,1
1585,nevus,nevus,1
1586,nevus,nevus,1
1587,nevus,nevus,1
1588,nevus,nevus,1
1589,nevus,nevus,1
1590,nevus,nevus,1
1591,nevus,nevus,1
1592,nevus,nevus,1
1593,nevus,nevus,1
1594,nevus,nevus,1
1595,nevus,nevus,1
1596,pigmented benign keratosis,pigmented benign keratosis,1
1597,nevus,nevus,1
1598,nevus,nevus,1
1599,nevus,nevus,1
1600,nevus,pigmented benign keratosis,0
1601,nevus,nevus,1
1602,nevus,nevus,1
1603,nevus,nevus,1
1604,pigmented benign keratosis,nevus,0
1605,nevus,nevus,1
1606,pigmented benign keratosis,pigmented benign keratosis,1
1607,nevus,nevus,1
1608,nevus,nevus,1
1609,nevus,nevus,1
1610,nevus,nevus,1
1611,nevus,nevus,1
1612,pigmented benign keratosis,nevus,0
1613,nevus,nevus,1
1614,nevus,nevus,1
1615,pigmented benign keratosis,pigmented benign keratosis,1
1616,melanoma,nevus,0
1617,nevus,nevus,1
1618,nevus,nevus,1
1619,nevus,nevus,1
1620,nevus,nevus,1
1621,basal cell carcinoma,pigmented benign keratosis,0
1622,nevus,nevus,1
1623,nevus,nevus,1
1624,nevus,nevus,1
1625,nevus,nevus,1
1626,pigmented benign keratosis,pigmented benign keratosis,1
1627,nevus,nevus,1
1628,melanoma,nevus,0
1629,nevus,nevus,1
1630,actinic keratosis,nevus,0
1631,melanoma,nevus,0
1632,pigmented benign keratosis,nevus,0
1633,nevus,nevus,1
1634,nevus,nevus,1
1635,nevus,nevus,1
1636,pigmented benign keratosis,pigmented benign keratosis,1
1637,nevus,nevus,1
1638,nevus,pigmented benign keratosis,0
1639,nevus,nevus,1
1640,nevus,pigmented benign keratosis,0
1641,nevus,melanoma,0
1642,nevus,nevus,1
1643,nevus,nevus,1
1644,nevus,nevus,1
1645,nevus,nevus,1
1646,nevus,nevus,1
1647,melanoma,nevus,0
1648,nevus,nevus,1
1649,nevus,nevus,1
1650,pigmented benign keratosis,nevus,0
1651,nevus,nevus,1
1652,nevus,nevus,1
1653,nevus,nevus,1
1654,nevus,nevus,1
1655,melanoma,nevus,0
1656,nevus,nevus,1
1657,pigmented benign keratosis,nevus,0
1658,nevus,nevus,1
1659,nevus,nevus,1
1660,nevus,nevus,1
1661,nevus,nevus,1
1662,dermatofibroma,pigmented benign keratosis,0
1663,nevus,nevus,1
1664,nevus,nevus,1
1665,nevus,nevus,1
1666,basal cell carcinoma,basal cell carcinoma,1
1667,nevus,pigmented benign keratosis,0
1668,nevus,nevus,1
1669,pigmented benign keratosis,nevus,0
1670,squamous cell carcinoma,nevus,0
1671,nevus,nevus,1
1672,nevus,nevus,1
1673,melanoma,nevus,0
1674,nevus,nevus,1
1675,nevus,nevus,1
1676,pigmented benign keratosis,melanoma,0
1677,nevus,nevus,1
1678,nevus,pigmented benign keratosis,0
1679,melanoma,nevus,0
1680,pigmented benign keratosis,nevus,0
1681,nevus,nevus,1
1682,melanoma,melanoma,1
1683,melanoma,nevus,0
1684,nevus,nevus,1
1685,nevus,nevus,1
1686,melanoma,nevus,0
1687,basal cell carcinoma,basal cell carcinoma,1
1688,pigmented benign keratosis,nevus,0
1689,nevus,nevus,1
1690,nevus,nevus,1
1691,nevus,nevus,1
1692,pigmented benign keratosis,nevus,0
1693,pigmented benign keratosis,pigmented benign keratosis,1
1694,nevus,nevus,1
1695,melanoma,nevus,0
1696,nevus,nevus,1
1697,nevus,nevus,1
1698,nevus,nevus,1
1699,nevus,nevus,1
1700,vascular lesion,nevus,0
1701,pigmented benign keratosis,pigmented benign keratosis,1
1702,nevus,nevus,1
1703,basal cell carcinoma,nevus,0
1704,nevus,nevus,1
1705,nevus,pigmented benign keratosis,0
1706,nevus,nevus,1
1707,nevus,nevus,1
1708,nevus,nevus,1
1709,nevus,nevus,1
1710,nevus,nevus,1
1711,pigmented benign keratosis,nevus,0
1712,nevus,nevus,1
1713,nevus,nevus,1
1714,actinic keratosis,nevus,0
1715,nevus,nevus,1
1716,basal cell carcinoma,nevus,0
1717,nevus,nevus,1
1718,nevus,nevus,1
1719,nevus,nevus,1
1720,nevus,nevus,1
1721,nevus,nevus,1
1722,pigmented benign keratosis,pigmented benign keratosis,1
1723,melanoma,nevus,0
1724,vascular lesion,nevus,0
1725,melanoma,nevus,0
1726,nevus,nevus,1
1727,nevus,nevus,1
1728,nevus,nevus,1
1729,pigmented benign keratosis,nevus,0
1730,nevus,pigmented benign keratosis,0
1731,pigmented benign keratosis,pigmented benign keratosis,1
1732,nevus,nevus,1
1733,basal cell carcinoma,basal cell carcinoma,1
1734,pigmented benign keratosis,nevus,0
1735,nevus,nevus,1
1736,nevus,melanoma,0
1737,nevus,nevus,1
1738,pigmented benign keratosis,nevus,0
1739,nevus,nevus,1
1740,nevus,nevus,1
1741,nevus,nevus,1
1742,nevus,nevus,1
1743,nevus,nevus,1
1744,melanoma,melanoma,1
1745,pigmented benign keratosis,pigmented benign keratosis,1
1746,nevus,nevus,1
1747,nevus,basal cell carcinoma,0
1748,nevus,nevus,1
1749,pigmented benign keratosis,nevus,0
1750,nevus,nevus,1
1751,nevus,nevus,1
1752,melanoma,nevus,0
1753,nevus,nevus,1
1754,nevus,nevus,1
1755,nevus,nevus,1
1756,pigmented benign keratosis,nevus,0
1757,nevus,pigmented benign keratosis,0
1758,pigmented benign keratosis,pigmented benign keratosis,1
1759,pigmented benign keratosis,nevus,0
1760,melanoma,nevus,0
1761,nevus,nevus,1
1762,pigmented benign keratosis,pigmented benign keratosis,1
1763,nevus,nevus,1
1764,nevus,nevus,1
1765,nevus,nevus,1
1766,nevus,nevus,1
1767,basal cell carcinoma,basal cell carcinoma,1
1768,nevus,nevus,1
1769,melanoma,melanoma,1
1770,pigmented benign keratosis,nevus,0
1771,nevus,nevus,1
1772,nevus,nevus,1
1773,melanoma,nevus,0
1774,nevus,nevus,1
1775,nevus,nevus,1
1776,vascular lesion,nevus,0
1777,nevus,nevus,1
1778,melanoma,nevus,0
1779,nevus,nevus,1
1780,nevus,nevus,1
1781,nevus,nevus,1
1782,nevus,nevus,1
1783,nevus,nevus,1
1784,nevus,nevus,1
1785,melanoma,nevus,0
1786,nevus,nevus,1
1787,nevus,nevus,1
1788,nevus,nevus,1
1789,nevus,nevus,1
1790,nevus,nevus,1
1791,nevus,nevus,1
1792,nevus,nevus,1
1793,nevus,nevus,1
1794,nevus,nevus,1
1795,nevus,nevus,1
1796,nevus,nevus,1
1797,nevus,nevus,1
1798,nevus,nevus,1
1799,nevus,nevus,1
1800,nevus,nevus,1
1801,nevus,nevus,1
1802,nevus,nevus,1
1803,nevus,nevus,1
1804,melanoma,nevus,0
1805,nevus,nevus,1
1806,pigmented benign keratosis,nevus,0
1807,nevus,nevus,1
1808,basal cell carcinoma,nevus,0
1809,nevus,nevus,1
1810,nevus,nevus,1
1811,pigmented benign keratosis,nevus,0
1812,nevus,nevus,1
1813,pigmented benign keratosis,nevus,0
1814,nevus,nevus,1
1815,melanoma,nevus,0
1816,nevus,nevus,1
1817,nevus,nevus,1
1818,pigmented benign keratosis,basal cell carcinoma,0
1819,nevus,nevus,1
1820,melanoma,pigmented benign keratosis,0
1821,nevus,nevus,1
1822,nevus,nevus,1
1823,squamous cell carcinoma,basal cell carcinoma,0
1824,pigmented benign keratosis,nevus,0
1825,pigmented benign keratosis,basal cell carcinoma,0
1826,nevus,nevus,1
1827,vascular lesion,nevus,0
1828,pigmented benign keratosis,nevus,0
1829,melanoma,nevus,0
1830,nevus,nevus,1
1831,basal cell carcinoma,nevus,0
1832,nevus,nevus,1
1833,pigmented benign keratosis,pigmented benign keratosis,1
1834,nevus,nevus,1
1835,actinic keratosis,basal cell carcinoma,0
1836,nevus,melanoma,0
1837,pigmented benign keratosis,pigmented benign keratosis,1
1838,nevus,nevus,1
1839,nevus,nevus,1
1840,nevus,basal cell carcinoma,0
1841,nevus,nevus,1
1842,nevus,nevus,1
1843,nevus,nevus,1
1844,nevus,nevus,1
1845,pigmented benign keratosis,nevus,0
1846,melanoma,melanoma,1
1847,nevus,nevus,1
1848,melanoma,nevus,0
1849,nevus,nevus,1
1850,actinic keratosis,nevus,0
1851,nevus,nevus,1
1852,nevus,nevus,1
1853,nevus,nevus,1
1854,pigmented benign keratosis,nevus,0
1855,nevus,nevus,1
1856,vascular lesion,pigmented benign keratosis,0
1857,vascular lesion,nevus,0
1858,vascular lesion,nevus,0
1859,nevus,nevus,1
1860,melanoma,nevus,0
1861,nevus,nevus,1
1862,squamous cell carcinoma,pigmented benign keratosis,0
1863,nevus,nevus,1
1864,pigmented benign keratosis,pigmented benign keratosis,1
1865,nevus,nevus,1
1866,nevus,nevus,1
1867,nevus,nevus,1
1868,nevus,nevus,1
1869,basal cell carcinoma,pigmented benign keratosis,0
1870,pigmented benign keratosis,nevus,0
1871,nevus,nevus,1
1872,nevus,nevus,1
1873,melanoma,pigmented benign keratosis,0
1874,nevus,nevus,1
1875,nevus,nevus,1
1876,melanoma,nevus,0
1877,nevus,nevus,1
